sector_code,sector_group,sector_name,stage,year,iron_content,mass,mass_iron
10,Mechanical engineering,Metal working toolsand engineering tools,component,1996,0.71,52.6,37.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,1997,0.71,53.1,37.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,1998,0.71,56.9,40.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,1999,0.71,54.2,38.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2000,0.71,54.9,39.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2001,0.71,48.5,34.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2002,0.71,42.2,30.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2003,0.71,37.6,26.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2004,0.71,40.3,28.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2005,0.71,40.3,28.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2006,0.71,46.9,33.3
10,Mechanical engineering,Metal working toolsand engineering tools,component,2007,0.71,45.9,32.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2008,0.71,42.8,30.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2009,0.71,30.6,21.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2010,0.71,34.8,24.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2011,0.71,43.4,30.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,2012,0.71,38.2,27.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2013,0.71,35.2,25.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2014,0.71,37.8,26.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2015,0.71,33.9,24.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2016,0.71,30.9,21.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2017,0.71,33.2,23.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1996,0.71,135.1,95.9
10,Mechanical engineering,Metal working toolsand engineering tools,final,1997,0.71,127.2,90.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1998,0.71,277.0,196.6
10,Mechanical engineering,Metal working toolsand engineering tools,final,1999,0.71,123.3,87.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2000,0.71,128.7,91.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,2001,0.71,121.8,86.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2002,0.71,148.0,105.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2003,0.71,157.6,111.9
10,Mechanical engineering,Metal working toolsand engineering tools,final,2004,0.71,167.2,118.7
10,Mechanical engineering,Metal working toolsand engineering tools,final,2005,0.71,174.6,124.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,2006,0.71,177.8,126.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,2007,0.71,184.4,130.9
10,Mechanical engineering,Metal working toolsand engineering tools,final,2008,0.71,160.8,114.2
10,Mechanical engineering,Metal working toolsand engineering tools,final,2009,0.71,125.5,89.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2010,0.71,149.7,106.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,2011,0.71,145.2,103.1
10,Mechanical engineering,Metal working toolsand engineering tools,final,2012,0.71,154.7,109.8
10,Mechanical engineering,Metal working toolsand engineering tools,final,2013,0.71,145.1,103.0
10,Mechanical engineering,Metal working toolsand engineering tools,final,2014,0.71,153.9,109.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,2015,0.71,168.4,119.5
10,Mechanical engineering,Metal working toolsand engineering tools,final,2016,0.71,165.3,117.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,2017,0.71,169.4,120.3
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1996,0.85,157.7,134.0
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1997,0.85,159.3,135.4
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1998,0.85,157.4,133.8
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,1999,0.85,158.1,134.4
11,Mechanical engineering,"Construction, earth moving and mechanical handling equipment",component,2000,0.85,158.8,134.9
