HS4,direction,mass,year
73--,export,52765330.0,2015
73--,export,59184766.0,2016
73--,export,59820408.0,2017
73--,import,313203460.0,2015
73--,import,367354587.0,2016
73--,import,441713696.0,2017
7301,export,216147542.0,1996
7301,export,167473138.0,1997
7301,export,162168032.0,1998
7301,export,126069978.0,1999
7301,export,110210635.0,2000
7301,export,83181654.0,2001
7301,export,81911246.0,2002
7301,export,99620152.0,2003
7301,export,70195913.0,2004
7301,export,10360351.0,2005
7301,export,12223486.0,2006
7301,export,13747866.0,2007
7301,export,24118863.0,2008
7301,export,59781488.0,2009
7301,export,28965532.0,2010
7301,export,11511222.0,2011
7301,export,8073906.0,2012
7301,export,7737476.0,2013
7301,export,9132832.0,2014
7301,export,6787515.0,2015
7301,export,5283815.0,2016
7301,export,5759643.0,2017
7301,import,7738157.0,1996
7301,import,18902413.0,1997
7301,import,27235867.0,1998
7301,import,26971477.0,1999
7301,import,23333894.0,2000
7301,import,36295259.0,2001
7301,import,38106369.0,2002
7301,import,32461663.0,2003
7301,import,51534645.0,2004
7301,import,63642749.0,2005
7301,import,80778797.0,2006
7301,import,100561038.0,2007
7301,import,93646693.0,2008
7301,import,48635660.0,2009
7301,import,70353681.0,2010
7301,import,58594581.0,2011
7301,import,71180273.0,2012
7301,import,68644286.0,2013
7301,import,105360902.0,2014
7301,import,87888300.0,2015
7301,import,86624109.0,2016
7301,import,75821434.0,2017
7302,export,129595717.0,1996
7302,export,173132597.0,1997
7302,export,137504564.0,1998
7302,export,136317316.0,1999
7302,export,52844161.0,2000
7302,export,39852191.0,2001
7302,export,43130456.0,2002
7302,export,67242382.0,2003
7302,export,42645305.0,2004
7302,export,35060742.0,2005
7302,export,49249048.0,2006
7302,export,32480868.0,2007
7302,export,39240117.0,2008
7302,export,40132667.0,2009
7302,export,40329377.0,2010
7302,export,51500864.0,2011
7302,export,37890614.0,2012
7302,export,47666658.0,2013
7302,export,171473279.0,2014
7302,export,135686180.0,2015
7302,export,106124487.0,2016
7302,export,94470886.0,2017
7302,import,28901207.0,1996
7302,import,52729389.0,1997
7302,import,43188712.0,1998
7302,import,26307273.0,1999
7302,import,176767736.0,2000
7302,import,110624880.0,2001
7302,import,134319808.0,2002
7302,import,125708553.0,2003
7302,import,69787049.0,2004
7302,import,72572130.0,2005
7302,import,75102457.0,2006
7302,import,125798960.0,2007
7302,import,83950412.0,2008
7302,import,36672664.0,2009
7302,import,29705568.0,2010
7302,import,25325833.0,2011
7302,import,35270264.0,2012
7302,import,34100561.0,2013
7302,import,31316360.0,2014
7302,import,22542932.0,2015
7302,import,28142643.0,2016
7302,import,18721687.0,2017
7303,export,115881530.0,1996
7303,export,124184595.0,1997
7303,export,99959184.0,1998
7303,export,96801833.0,1999
7303,export,111387773.0,2000
7303,export,63879379.0,2001
7303,export,39832868.0,2002
7303,export,96789818.0,2003
7303,export,30177189.0,2004
7303,export,56341650.0,2005
7303,export,46718746.0,2006
7303,export,14174862.0,2007
7303,export,5383477.0,2008
7303,export,4329632.0,2009
7303,export,5416075.0,2010
7303,export,5905979.0,2011
7303,export,5070971.0,2012
7303,export,3987003.0,2013
7303,export,13153699.0,2014
7303,export,5301078.0,2015
7303,export,5025326.0,2016
7303,export,3899786.0,2017
7303,import,2213720.0,1996
7303,import,1891251.0,1997
7303,import,31310356.0,1998
7303,import,11506748.0,1999
7303,import,6826494.0,2000
7303,import,16313743.0,2001
7303,import,21628564.0,2002
7303,import,18244470.0,2003
7303,import,16128525.0,2004
7303,import,25868321.0,2005
7303,import,38246894.0,2006
7303,import,51372786.0,2007
7303,import,52814650.0,2008
7303,import,35100999.0,2009
7303,import,31535311.0,2010
7303,import,31887475.0,2011
7303,import,33000222.0,2012
7303,import,31142404.0,2013
7303,import,43646024.0,2014
7303,import,27906371.0,2015
