sector_code,sector_group,sector_name,stage,year,iron_content,mass,mass_iron
10,Mechanical engineering,Metal working toolsand engineering tools,component,1996,0.71,68.5,48.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,1997,0.71,100.7,71.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,1998,0.71,106.4,75.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,1999,0.71,76.0,53.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2000,0.71,154.5,109.7
10,Mechanical engineering,Metal working toolsand engineering tools,component,2001,0.71,104.1,73.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2002,0.71,77.1,54.8
10,Mechanical engineering,Metal working toolsand engineering tools,component,2003,0.71,79.5,56.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2004,0.71,78.1,55.4
10,Mechanical engineering,Metal working toolsand engineering tools,component,2005,0.71,106.3,75.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2006,0.71,102.9,73.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2007,0.71,92.9,65.9
10,Mechanical engineering,Metal working toolsand engineering tools,component,2008,0.71,93.0,66.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2009,0.71,43.2,30.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2010,0.71,62.0,44.0
10,Mechanical engineering,Metal working toolsand engineering tools,component,2011,0.71,67.8,48.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2012,0.71,68.5,48.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2013,0.71,83.9,59.6
10,Mechanical engineering,Metal working toolsand engineering tools,component,2014,0.71,78.2,55.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2015,0.71,67.7,48.1
10,Mechanical engineering,Metal working toolsand engineering tools,component,2016,0.71,78.2,55.5
10,Mechanical engineering,Metal working toolsand engineering tools,component,2017,0.71,83.6,59.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1996,0.71,141.4,100.4
10,Mechanical engineering,Metal working toolsand engineering tools,final,1997,0.71,208.9,148.3
10,Mechanical engineering,Metal working toolsand engineering tools,final,1998,0.71,208.3,147.9
